USL;Время начала;День тип;Nat;Reg
24:00:00 - 24:29:59E;24:00:00 - 24:29:59;E;pr;pr
24:00:00 - 24:29:59W;24:00:00 - 24:29:59;W;pr;off
24:30:00 - 24:59:59E;24:30:00 - 24:59:59;E;pr;pr
24:30:00 - 24:59:59W;24:30:00 - 24:59:59;W;off;off
25:00:00 - 25:29:59E;25:00:00 - 25:29:59;E;off;pr
25:00:00 - 25:29:59W;25:00:00 - 25:29:59;W;off;off
25:30:00 - 25:59:59E;25:30:00 - 25:59:59;E;off;pr
25:30:00 - 25:59:59W;25:30:00 - 25:59:59;W;off;off
26:00:00 - 26:29:59E;26:00:00 - 26:29:59;E;off;pr
26:00:00 - 26:29:59W;26:00:00 - 26:29:59;W;off;off
26:30:00 - 26:59:59E;26:30:00 - 26:59:59;E;off;pr
26:30:00 - 26:59:59W;26:30:00 - 26:59:59;W;off;off
27:00:00 - 27:29:59E;27:00:00 - 27:29:59;E;off;pr
27:00:00 - 27:29:59W;27:00:00 - 27:29:59;W;off;off
27:30:00 - 27:59:59E;27:30:00 - 27:59:59;E;off;pr
27:30:00 - 27:59:59W;27:30:00 - 27:59:59;W;off;off
28:00:00 - 28:29:59E;28:00:00 - 28:29:59;E;off;pr
28:00:00 - 28:29:59W;28:00:00 - 28:29:59;W;off;off
28:30:00 - 28:59:59E;28:30:00 - 28:59:59;E;off;pr
28:30:00 - 28:59:59W;28:30:00 - 28:59:59;W;off;off
05:00:00 - 05:29:59F;05:00:00 - 05:29:59;F;off;off
05:30:00 - 05:59:59F;05:30:00 - 05:59:59;F;off;off
06:00:00 - 06:29:59F;06:00:00 - 06:29:59;F;off;off
06:30:00 - 06:59:59F;06:30:00 - 06:59:59;F;off;off
07:00:00 - 07:29:59F;07:00:00 - 07:29:59;F;off;off
07:30:00 - 07:59:59F;07:30:00 - 07:59:59;F;off;off
08:00:00 - 08:29:59F;08:00:00 - 08:29:59;F;off;off
08:30:00 - 08:59:59F;08:30:00 - 08:59:59;F;off;off
09:00:00 - 09:29:59F;09:00:00 - 09:29:59;F;off;off
09:30:00 - 09:59:59F;09:30:00 - 09:59:59;F;off;off
10:00:00 - 10:29:59F;10:00:00 - 10:29:59;F;off;off
10:30:00 - 10:59:59F;10:30:00 - 10:59:59;F;off;off
11:00:00 - 11:29:59F;11:00:00 - 11:29:59;F;off;off
11:30:00 - 11:59:59F;11:30:00 - 11:59:59;F;off;off
12:00:00 - 12:29:59F;12:00:00 - 12:29:59;F;off;off
12:30:00 - 12:59:59F;12:30:00 - 12:59:59;F;off;off
13:00:00 - 13:29:59F;13:00:00 - 13:29:59;F;off;off
13:30:00 - 13:59:59F;13:30:00 - 13:59:59;F;off;off
14:00:00 - 14:29:59F;14:00:00 - 14:29:59;F;off;off
14:30:00 - 14:59:59F;14:30:00 - 14:59:59;F;off;off
15:00:00 - 15:29:59F;15:00:00 - 15:29:59;F;off;off
15:30:00 - 15:59:59F;15:30:00 - 15:59:59;F;off;off
16:00:00 - 16:29:59F;16:00:00 - 16:29:59;F;off;off
16:30:00 - 16:59:59F;16:30:00 - 16:59:59;F;off;off
17:00:00 - 17:29:59F;17:00:00 - 17:29:59;F;off;off
17:30:00 - 17:59:59F;17:30:00 - 17:59:59;F;off;off
18:00:00 - 18:29:59F;18:00:00 - 18:29:59;F;off;pr
18:30:00 - 18:59:59F;18:30:00 - 18:59:59;F;off;pr
19:00:00 - 19:29:59F;19:00:00 - 19:29:59;F;pr;pr
19:30:00 - 19:59:59F;19:30:00 - 19:59:59;F;pr;pr
20:00:00 - 20:29:59F;20:00:00 - 20:29:59;F;pr;pr
20:30:00 - 20:59:59F;20:30:00 - 20:59:59;F;pr;pr
21:00:00 - 21:29:59F;21:00:00 - 21:29:59;F;pr;pr
21:30:00 - 21:59:59F;21:30:00 - 21:59:59;F;pr;pr
22:00:00 - 22:29:59F;22:00:00 - 22:29:59;F;pr;pr
22:30:00 - 22:59:59F;22:30:00 - 22:59:59;F;pr;pr
23:00:00 - 23:29:59F;23:00:00 - 23:29:59;F;pr;pr
23:30:00 - 23:59:59F;23:30:00 - 23:59:59;F;pr;pr
24:00:00 - 24:29:59F;24:00:00 - 24:29:59;F;pr;off
24:30:00 - 24:59:59F;24:30:00 - 24:59:59;F;off;off
25:00:00 - 25:29:59F;25:00:00 - 25:29:59;F;off;off
25:30:00 - 25:59:59F;25:30:00 - 25:59:59;F;off;off
26:00:00 - 26:29:59F;26:00:00 - 26:29:59;F;off;off
26:30:00 - 26:59:59F;26:30:00 - 26:59:59;F;off;off
27:00:00 - 27:29:59F;27:00:00 - 27:29:59;F;off;off
27:30:00 - 27:59:59F;27:30:00 - 27:59:59;F;off;off
28:00:00 - 28:29:59F;28:00:00 - 28:29:59;F;off;off
28:30:00 - 28:59:59F;28:30:00 - 28:59:59;F;off;off
05:00:00 - 05:29:59H;05:00:00 - 05:29:59;H;off;pr
05:30:00 - 05:59:59H;05:30:00 - 05:59:59;H;off;pr
06:00:00 - 06:29:59H;06:00:00 - 06:29:59;H;off;pr
06:30:00 - 06:59:59H;06:30:00 - 06:59:59;H;off;pr
07:00:00 - 07:29:59H;07:00:00 - 07:29:59;H;off;pr
07:30:00 - 07:59:59H;07:30:00 - 07:59:59;H;off;pr
08:00:00 - 08:29:59H;08:00:00 - 08:29:59;H;pr;pr
08:30:00 - 08:59:59H;08:30:00 - 08:59:59;H;pr;pr
09:00:00 - 09:29:59H;09:00:00 - 09:29:59;H;pr;pr
09:30:00 - 09:59:59H;09:30:00 - 09:59:59;H;pr;pr
10:00:00 - 10:29:59H;10:00:00 - 10:29:59;H;pr;pr
10:30:00 - 10:59:59H;10:30:00 - 10:59:59;H;pr;pr
11:00:00 - 11:29:59H;11:00:00 - 11:29:59;H;pr;pr
11:30:00 - 11:59:59H;11:30:00 - 11:59:59;H;pr;pr
12:00:00 - 12:29:59H;12:00:00 - 12:29:59;H;pr;pr
12:30:00 - 12:59:59H;12:30:00 - 12:59:59;H;pr;pr
13:00:00 - 13:29:59H;13:00:00 - 13:29:59;H;pr;pr
13:30:00 - 13:59:59H;13:30:00 - 13:59:59;H;pr;pr
14:00:00 - 14:29:59H;14:00:00 - 14:29:59;H;pr;pr
14:30:00 - 14:59:59H;14:30:00 - 14:59:59;H;pr;pr
15:00:00 - 15:29:59H;15:00:00 - 15:29:59;H;pr;pr
15:30:00 - 15:59:59H;15:30:00 - 15:59:59;H;pr;pr
16:00:00 - 16:29:59H;16:00:00 - 16:29:59;H;pr;pr
16:30:00 - 16:59:59H;16:30:00 - 16:59:59;H;pr;pr
17:00:00 - 17:29:59H;17:00:00 - 17:29:59;H;pr;pr
17:30:00 - 17:59:59H;17:30:00 - 17:59:59;H;pr;pr
18:00:00 - 18:29:59H;18:00:00 - 18:29:59;H;pr;pr
18:30:00 - 18:59:59H;18:30:00 - 18:59:59;H;pr;pr
19:00:00 - 19:29:59H;19:00:00 - 19:29:59;H;pr;pr
19:30:00 - 19:59:59H;19:30:00 - 19:59:59;H;pr;pr
20:00:00 - 20:29:59H;20:00:00 - 20:29:59;H;pr;pr
20:30:00 - 20:59:59H;20:30:00 - 20:59:59;H;pr;pr
21:00:00 - 21:29:59H;21:00:00 - 21:29:59;H;pr;pr
21:30:00 - 21:59:59H;21:30:00 - 21:59:59;H;pr;pr
22:00:00 - 22:29:59H;22:00:00 - 22:29:59;H;pr;pr
22:30:00 - 22:59:59H;22:30:00 - 22:59:59;H;pr;pr
23:00:00 - 23:29:59H;23:00:00 - 23:29:59;H;pr;pr
23:30:00 - 23:59:59H;23:30:00 - 23:59:59;H;pr;pr
24:00:00 - 24:29:59H;24:00:00 - 24:29:59;H;pr;pr
24:30:00 - 24:59:59H;24:30:00 - 24:59:59;H;pr;pr
25:00:00 - 25:29:59H;25:00:00 - 25:29:59;H;off;pr
25:30:00 - 25:59:59H;25:30:00 - 25:59:59;H;off;pr
26:00:00 - 26:29:59H;26:00:00 - 26:29:59;H;off;pr
26:30:00 - 26:59:59H;26:30:00 - 26:59:59;H;off;pr
27:00:00 - 27:29:59H;27:00:00 - 27:29:59;H;off;pr
27:30:00 - 27:59:59H;27:30:00 - 27:59:59;H;off;pr
28:00:00 - 28:29:59H;28:00:00 - 28:29:59;H;off;pr
28:30:00 - 28:59:59H;28:30:00 - 28:59:59;H;off;pr
