nan;nan;nan;nan;nan;nan;nan;TVR;Quantity
nan;nan;nan;nan;nan;nan;nan;all 18+;all 18+
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:05:00 - 19:05:59;25.01.2020;0,5372;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:33:00 - 19:33:59;25.01.2020;0,4266;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:53:00 - 19:53:59;25.01.2020;0,4181;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:10:00 - 20:10:59;25.01.2020;0,2856;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:35:00 - 20:35:59;25.01.2020;0,2583;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:55:00 - 20:55:59;25.01.2020;0,3099;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:12:00 - 21:12:59;25.01.2020;0,4643;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:45:00 - 21:45:59;25.01.2020;0,4104;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:02:00 - 22:02:59;25.01.2020;0,4008;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:31:00 - 22:31:59;25.01.2020;0,3048;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;22:49:00 - 22:49:59;25.01.2020;0,2464;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;23:47:00 - 23:47:59;25.01.2020;0,1774;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;23:59:00 - 23:59:59;25.01.2020;0,2086;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:01:00 - 25:01:59;25.01.2020;0,1085;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:11:00 - 25:11:59;25.01.2020;0,0607;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;25:57:00 - 25:57:59;25.01.2020;0,1230;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;26:19:00 - 26:19:59;25.01.2020;0,0633;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;26:27:00 - 26:27:59;25.01.2020;0,0557;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;26:43:00 - 26:43:59;25.01.2020;0,0276;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;27:00:00 - 27:00:59;25.01.2020;0,0265;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;27:51:00 - 27:51:59;25.01.2020;0,0527;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;27:56:00 - 27:56:59;25.01.2020;0,0592;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;05:02:00 - 05:02:59;25.01.2020;0,0000;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;06:55:00 - 06:55:59;25.01.2020;0,1006;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;07:30:00 - 07:30:59;25.01.2020;0,2288;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;08:21:00 - 08:21:59;25.01.2020;0,1343;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;09:14:00 - 09:14:59;25.01.2020;0,0717;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;10:23:00 - 10:23:59;25.01.2020;0,0669;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;11:22:00 - 11:22:59;25.01.2020;0,0796;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Выходной;Суббота;12:15:00 - 12:15:59;25.01.2020;0,2162;1
