1867;СТС (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,5641;0,0000;4,0000;4,0000
1867;СТС (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;27,5151;36,8683;17,0000;17,0000
1869;ДОМАШНИЙ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,3353;0,6718;4,0000;4,0000
1869;ДОМАШНИЙ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;37,1485;44,8234;23,0000;23,0000
1869;ДОМАШНИЙ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,5848;0,1850;6,0000;6,0000
1869;ДОМАШНИЙ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;19,1011;23,8289;15,0000;15,0000
1870;ТНТ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,0981;0,0000;5,0000;5,0000
1870;ТНТ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;48,1279;16,3673;53,0000;53,0000
1870;ТНТ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,3630;0,0000;2,0000;2,0000
1870;ТНТ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;19,3712;6,2705;29,0000;29,0000
1871;ПЯТНИЦА (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,1837;0,0000;8,0000;8,0000
1871;ПЯТНИЦА (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;27,3832;1,3349;51,0000;51,0000
1871;ПЯТНИЦА (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,0751;0,0000;2,0000;2,0000
1871;ПЯТНИЦА (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;12,6018;2,7490;34,0000;34,0000
1872;ТВ-3 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,1552;0,0000;6,0000;6,0000
1872;ТВ-3 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;30,6510;1,6503;54,0000;54,0000
1872;ТВ-3 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;1,2502;0,0000;6,0000;6,0000
1872;ТВ-3 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;24,4935;5,1207;51,0000;51,0000
1873;РЕН ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;4,6002;0,0000;6,0000;6,0000
1873;РЕН ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;61,3285;13,1241;39,0000;39,0000
1873;РЕН ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;1,5558;0,0000;3,0000;3,0000
1873;РЕН ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;16,5657;0,4930;14,0000;14,0000
1874;Ю (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,4593;0,0000;10,0000;10,0000
1874;Ю (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;10,7373;0,0000;55,0000;55,0000
1874;Ю (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;off;08.01.2020;0,0135;0,0000;1,0000;1,0000
1874;Ю (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;2,9109;0,0000;17,0000;17,0000
1875;ЗВЕЗДА (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,2464;0,0000;14,0000;14,0000
1875;ЗВЕЗДА (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;50,5355;12,9483;60,0000;60,0000
1877;ПЯТЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;3,3511;0,0000;7,0000;7,0000
1877;ПЯТЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;58,4745;5,7052;44,0000;44,0000
1877;ПЯТЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;pr;08.01.2020;12,6373;0,0000;11,0000;11,0000
2036;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,5660;0,5462;2,0000;2,0000
2036;ЕДИНЫЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;72,3664;5,1600;36,0000;36,0000
2121;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;1,2087;0,2731;2,0000;2,0000
2121;МУЖСКОЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;34,0462;4,3010;21,0000;21,0000
2142;ЖЕНСКИЙ РЕКЛАМНЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;22,7479;3,2484;9,0000;9,0000
2236;ДОМ КИНО (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,3388;0,0000;4,0000;4,0000
2236;ДОМ КИНО (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;9,6763;0,0000;34,0000;34,0000
2344;RU.TV (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;off;08.01.2020;0,0134;0,0000;2,0000;2,0000
2344;RU.TV (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;pr;08.01.2020;1,2374;1,1764;49,0000;49,0000
