nan;nan;nan;nan;nan;nan;nan;TVR;TVR;Quantity;Quantity
nan;nan;nan;nan;nan;nan;nan;Total;all 18+;Total;all 18+
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;06:00:00 - 06:00:59;08.01.2020;0,0199;0,0238;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;06:40:00 - 06:40:59;08.01.2020;0,0895;0,1073;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;07:22:00 - 07:22:59;08.01.2020;0,0699;0,0778;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:01:00 - 08:01:59;08.01.2020;0,0569;0,0578;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:03:00 - 08:03:59;08.01.2020;0,0407;0,0383;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:04:00 - 08:04:59;08.01.2020;0,0407;0,0383;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:42:00 - 08:42:59;08.01.2020;0,0201;0,0240;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:23:00 - 09:23:59;08.01.2020;0,0450;0,0540;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:10:00 - 10:10:59;08.01.2020;0,0956;0,1007;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:14:00 - 10:14:59;08.01.2020;0,1091;0,1168;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:15:00 - 10:15:59;08.01.2020;0,0971;0,1025;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:50:00 - 10:50:59;08.01.2020;0,0818;0,0874;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:35:00 - 11:35:59;08.01.2020;0,1332;0,1518;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:25:00 - 12:25:59;08.01.2020;0,2263;0,2637;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:36:00 - 12:36:59;08.01.2020;0,2371;0,2709;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:07:00 - 13:07:59;08.01.2020;0,2109;0,2527;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:24:00 - 13:24:59;08.01.2020;0,0853;0,0991;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:55:00 - 13:55:59;08.01.2020;0,1065;0,1245;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:06:00 - 14:06:59;08.01.2020;0,1155;0,1353;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:30:00 - 14:30:59;08.01.2020;0,1265;0,1489;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:44:00 - 14:44:59;08.01.2020;0,1454;0,1680;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:09:00 - 15:09:59;08.01.2020;0,2415;0,2644;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:32:00 - 15:32:59;08.01.2020;0,2877;0,3122;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:44:00 - 15:44:59;08.01.2020;0,2314;0,2774;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:10:00 - 16:10:59;08.01.2020;0,0847;0,0924;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:22:00 - 16:22:59;08.01.2020;0,1802;0,2129;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:46:00 - 16:46:59;08.01.2020;0,1175;0,1301;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;17:31:00 - 17:31:59;08.01.2020;0,3567;0,4167;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;17:41:00 - 17:41:59;08.01.2020;0,1765;0,2007;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:26:00 - 18:26:59;08.01.2020;0,3175;0,3655;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:37:00 - 18:37:59;08.01.2020;0,2994;0,3383;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:17:00 - 19:17:59;08.01.2020;0,2675;0,3125;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:30:00 - 19:30:59;08.01.2020;0,2500;0,2704;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:58:00 - 19:58:59;08.01.2020;0,2661;0,3141;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;20:17:00 - 20:17:59;08.01.2020;0,2677;0,3208;1;1
